City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Leningradskiy,69.3833,178.4167,38.23,89,34,3.42,RU,2022-05-23 01:14:15
68,Tlacotalpan,18.6167,-95.6667,81.73,79,0,12.41,MX,2022-05-23 01:14:15
69,Abbeville,50.1,1.8333,60.49,75,100,3.56,FR,2022-05-23 01:14:16
70,Kaitangata,-46.2817,169.8464,50.85,68,100,17.25,NZ,2022-05-23 01:14:16
71,Opuwo,-18.0607,13.84,53.55,25,1,5.32,NA,2022-05-23 01:14:17
72,Zabol,32.25,67.25,56.01,14,0,5.93,AF,2022-05-23 01:14:18
73,Atuona,-9.8,-139.0333,78.39,77,35,18.9,PF,2022-05-23 01:14:18
74,Tuktoyaktuk,69.4541,-133.0374,29.97,72,79,10.98,CA,2022-05-23 01:14:18
75,Narsaq,60.9167,-46.05,37.62,92,95,5.64,GL,2022-05-23 01:14:19
76,Pindobacu,-10.7417,-40.3608,68.13,81,52,6.91,BR,2022-05-23 01:14:19
77,Lingyuan,41.24,119.4011,84.94,23,16,9.64,CN,2022-05-23 01:14:20
78,North Bend,43.4065,-124.2243,63.91,93,0,11.5,US,2022-05-23 01:14:20
79,Buzmeyin,38.0507,58.2056,67.15,36,0,10.25,TM,2022-05-23 01:14:21
80,Khatanga,71.9667,102.5,33.44,78,100,8.52,RU,2022-05-23 01:14:21
81,Tura,25.5198,90.2201,76.01,89,5,2.84,IN,2022-05-23 01:14:22
82,San Quintin,30.4833,-115.95,63.59,65,0,12.08,MX,2022-05-23 01:14:22
83,Gatesville,31.4352,-97.7439,79.3,55,0,6.91,US,2022-05-23 01:14:23
84,Ningbo,29.8782,121.5495,64.71,91,100,6.98,CN,2022-05-23 01:11:35
85,Codrington,-38.2667,141.9667,56.89,58,0,4.59,AU,2022-05-23 01:14:24
86,Mkokotoni,-5.8767,39.2547,74.44,86,99,6.38,TZ,2022-05-23 01:14:24
87,Redlands,34.0556,-117.1825,85.32,46,0,10.36,US,2022-05-23 01:11:24
88,Alto Araguaia,-17.3147,-53.2153,58.15,47,65,2.68,BR,2022-05-23 01:14:25
89,Belmonte,-15.8631,-38.8828,71.46,83,65,8.34,BR,2022-05-23 01:15:25
90,Meadow Lake,34.8014,-106.5436,75.72,23,78,23.8,US,2022-05-23 01:15:26
91,Kirakira,-10.4544,161.9205,84.76,71,25,4.72,SB,2022-05-23 01:15:27
92,Kapaa,22.0752,-159.319,80.58,77,75,13.8,US,2022-05-23 01:15:27
93,Shubarkuduk,49.1447,56.4872,56.19,73,89,20.11,KZ,2022-05-23 01:15:27
94,Pisco,-13.7,-76.2167,65.01,88,75,5.75,PE,2022-05-23 01:15:28
95,Esperance,-33.8667,121.9,65.14,67,0,14.65,AU,2022-05-23 01:15:28
96,Caravelas,-17.7125,-39.2481,69.26,82,84,5.75,BR,2022-05-23 01:15:29
97,Ivanteyevka,55.9711,37.9208,37.35,80,84,6.08,RU,2022-05-23 01:15:29
98,Bad Freienwalde,52.7873,14.0304,55.45,91,99,6.15,DE,2022-05-23 01:15:30
99,Talnakh,69.4865,88.3972,33.21,100,100,5.66,RU,2022-05-23 01:15:30
100,Acapulco,16.8634,-99.8901,82.22,74,75,6.91,MX,2022-05-23 01:13:04
101,Puerto Ayora,-0.7393,-90.3518,71.89,90,32,7.58,EC,2022-05-23 01:15:31
102,Shizunai,42.3339,142.3669,54.73,85,100,10.54,JP,2022-05-23 01:15:32
103,Thompson,55.7435,-97.8558,62.76,20,75,8.05,CA,2022-05-23 01:15:32
104,Sulangan,11.1373,123.7228,82.98,71,99,4.16,PH,2022-05-23 01:15:33
105,Longyearbyen,78.2186,15.6401,35.44,87,75,3.44,SJ,2022-05-23 01:15:33
106,Hovd,48.0056,91.6419,71.35,14,24,2.37,MN,2022-05-23 01:15:33
107,Tabou,4.423,-7.3528,75.6,92,100,7.74,CI,2022-05-23 01:15:34
108,Severo-Kurilsk,50.6789,156.125,41.77,96,100,14.99,RU,2022-05-23 01:15:34
109,Changping,40.2186,116.2197,80.24,27,81,3.96,CN,2022-05-23 01:15:35
110,Huarmey,-10.0681,-78.1522,64.96,87,3,7.31,PE,2022-05-23 01:15:35
111,Road Town,18.4167,-64.6167,80.64,78,40,8.05,VG,2022-05-23 01:13:30
112,Euclides Da Cunha,-10.5075,-39.0158,63.93,95,0,4.65,BR,2022-05-23 01:15:36
113,Abu Kamal,34.4506,40.9171,70.86,30,92,19.69,SY,2022-05-23 01:15:36
114,Touho,-20.7833,165.2333,78.71,77,20,9.35,NC,2022-05-23 01:15:37
115,Bethel,41.3712,-73.414,73.27,91,20,0.0,US,2022-05-23 01:15:37
116,Kavieng,-2.5744,150.7967,85.15,64,73,16.82,PG,2022-05-23 01:15:38
117,Seoul,37.5683,126.9778,67.44,51,0,3.6,KR,2022-05-23 01:12:54
118,Henties Bay,-22.116,14.2845,62.37,50,0,3.94,NA,2022-05-23 01:15:38
119,Kenai,60.5544,-151.2583,70.03,24,0,13.8,US,2022-05-23 01:15:39
120,Moron,-34.6534,-58.6198,60.96,80,67,4.88,AR,2022-05-23 01:15:39
121,Temyasovo,52.9933,58.1014,37.47,99,100,5.97,RU,2022-05-23 01:15:40
122,Hamilton,39.1834,-84.5333,64.09,68,0,5.75,US,2022-05-23 01:13:48
123,Ola,59.5833,151.2833,41.14,89,100,26.42,RU,2022-05-23 01:15:40
124,Sao Miguel Do Araguaia,-13.275,-50.1628,65.98,44,0,3.69,BR,2022-05-23 01:15:41
125,Gao,16.6362,1.637,84.24,33,35,7.83,ML,2022-05-23 01:15:41
126,Pilar,-9.5972,-35.9567,73.33,85,12,3.74,BR,2022-05-23 01:15:42
127,Kenda,23.2,86.5333,82.17,61,4,3.96,IN,2022-05-23 01:15:42
128,Jacareacanga,-6.2222,-57.7528,74.26,74,2,1.25,BR,2022-05-23 01:15:43
129,Yumen,40.2833,97.2,69.12,31,10,23.94,CN,2022-05-23 01:15:43
130,Chokurdakh,70.6333,147.9167,33.46,100,100,6.49,RU,2022-05-23 01:15:44
131,Hami,42.8,93.45,85.5,14,87,4.97,CN,2022-05-23 01:13:42
132,Bredasdorp,-34.5322,20.0403,54.68,89,30,4.92,ZA,2022-05-23 01:15:45
133,Luderitz,-26.6481,15.1594,60.44,55,23,5.14,NA,2022-05-23 01:15:45
134,Jurm,36.8648,70.8342,46.8,80,93,0.04,AF,2022-05-23 01:15:46
135,Ponta Do Sol,32.6667,-17.1,66.83,76,32,5.73,PT,2022-05-23 01:15:46
136,Half Moon Bay,37.4636,-122.4286,78.89,67,0,27.63,US,2022-05-23 01:15:23
137,Beloha,-25.1667,45.05,63.63,95,5,6.02,MG,2022-05-23 01:16:47
138,Curti,15.4167,74.0167,78.49,88,95,1.19,IN,2022-05-23 01:16:48
139,Maniitsoq,65.4167,-52.9,31.59,96,100,34.94,GL,2022-05-23 01:16:48
140,Samarai,-10.6167,150.6667,82.47,74,16,8.21,PG,2022-05-23 01:16:49
141,Arraial Do Cabo,-22.9661,-42.0278,71.2,71,0,14.88,BR,2022-05-23 01:15:02
142,Hervey Bay,-25.2986,152.8535,72.01,76,100,7.0,AU,2022-05-23 01:16:50
143,Kodiak,57.79,-152.4072,47.71,81,100,18.41,US,2022-05-23 01:13:35
144,Mazagao,-0.115,-51.2894,77.05,93,100,3.06,BR,2022-05-23 01:16:51
145,Itarema,-2.9248,-39.9167,75.49,88,10,8.19,BR,2022-05-23 01:16:51
146,Makinsk,52.6292,70.4169,46.2,63,49,12.64,KZ,2022-05-23 01:16:52
147,Dosso,13.049,3.1937,83.32,57,100,9.19,NE,2022-05-23 01:16:52
148,Clifton,40.8584,-74.1638,80.02,83,40,5.75,US,2022-05-23 01:15:14
149,Hasaki,35.7333,140.8333,68.29,79,62,11.39,JP,2022-05-23 01:16:53
150,Roma,43.2128,-75.4557,57.51,90,100,9.22,US,2022-05-23 01:16:54
151,Ostrovnoy,68.0531,39.5131,30.9,74,78,12.46,RU,2022-05-23 01:16:54
152,Lorengau,-2.0226,147.2712,85.93,63,95,13.44,PG,2022-05-23 01:16:55
153,Jacqueville,5.2052,-4.4146,76.12,86,99,6.93,CI,2022-05-23 01:16:55
154,Te Anau,-45.4167,167.7167,49.35,69,1,2.04,NZ,2022-05-23 01:16:56
155,Kalmunai,7.4167,81.8167,79.95,71,35,4.12,LK,2022-05-23 01:16:56
156,Birin,26.8865,88.0718,62.64,74,23,2.53,NP,2022-05-23 01:16:57
157,Vavuniya,8.7514,80.4971,79.18,81,89,8.32,LK,2022-05-23 01:16:57
158,Namibe,-15.1961,12.1522,68.67,68,0,5.41,AO,2022-05-23 01:16:47
159,Matveyevka,52.15,56.1833,43.12,97,100,10.78,RU,2022-05-23 01:16:58
160,Amapa,1.0,-52.0,71.02,98,24,1.21,BR,2022-05-23 01:16:58
161,Bengkulu,-3.8004,102.2655,78.53,84,99,2.04,ID,2022-05-23 01:16:59
162,Nouakchott,18.0858,-15.9785,64.33,91,0,15.95,MR,2022-05-23 01:16:59
163,Iqaluit,63.7506,-68.5145,22.73,85,100,20.71,CA,2022-05-23 01:17:00
164,Ketchikan,55.3422,-131.6461,52.36,75,100,10.09,US,2022-05-23 01:17:00
165,Srednekolymsk,67.45,153.6833,57.92,35,69,11.48,RU,2022-05-23 01:17:01
166,Urucara,-2.5364,-57.76,73.42,94,9,2.37,BR,2022-05-23 01:17:01
167,Shenkursk,62.1091,42.896,33.17,72,100,12.19,RU,2022-05-23 01:17:02
168,Zyryanka,65.75,150.85,56.82,35,100,15.61,RU,2022-05-23 01:17:02
169,Port Blair,11.6667,92.75,83.62,80,100,21.23,IN,2022-05-23 01:14:46
170,Jalu,29.0331,21.5482,68.56,32,0,6.42,LY,2022-05-23 01:17:03
171,Norsup,-16.0667,167.3833,83.57,71,64,3.0,VU,2022-05-23 01:17:04
172,Ibra,22.6906,58.5334,81.19,48,6,4.72,OM,2022-05-23 01:17:04
173,Nova Vicosa,-17.8919,-39.3719,70.63,78,45,7.9,BR,2022-05-23 01:17:06
174,Pevek,69.7008,170.3133,35.94,90,50,7.63,RU,2022-05-23 01:17:07
175,Hobart,-42.8794,147.3294,59.25,72,20,10.36,AU,2022-05-23 01:17:07
176,West Wendover,40.7391,-114.0733,60.3,26,65,17.49,US,2022-05-23 01:14:57
177,Ornskoldsvik,63.2909,18.7153,31.15,100,78,2.3,SE,2022-05-23 01:17:08
178,Tsaratanana,-16.7833,47.65,66.97,81,25,10.25,MG,2022-05-23 01:17:09
179,Kupang,-10.1667,123.5833,84.51,63,100,13.87,ID,2022-05-23 01:12:31
180,East London,-33.0153,27.9116,59.43,81,51,3.85,ZA,2022-05-23 01:17:09
181,Bud,39.447,-86.1758,61.68,56,100,8.68,US,2022-05-23 01:17:10
182,Kahului,20.8947,-156.47,87.82,55,20,26.46,US,2022-05-23 01:18:10
183,Pangkalanbuun,-2.6833,111.6167,81.21,82,59,3.2,ID,2022-05-23 01:18:11
184,Avera,33.194,-82.5271,77.05,64,100,7.63,US,2022-05-23 01:16:10
185,Comodoro Rivadavia,-45.8667,-67.5,46.26,46,0,14.97,AR,2022-05-23 01:17:12
186,Manati,18.4275,-66.4921,80.67,87,69,10.29,PR,2022-05-23 01:18:12
187,San Carlos De Bariloche,-41.1456,-71.3082,35.35,80,40,21.85,AR,2022-05-23 01:18:13
188,Ribeira Grande,38.5167,-28.7,64.13,95,100,3.53,PT,2022-05-23 01:18:13
189,Ndele,8.4109,20.6473,75.78,64,56,4.47,CF,2022-05-23 01:18:14
190,Dingle,10.9995,122.6711,85.23,69,88,7.27,PH,2022-05-23 01:18:15
191,Cidreira,-30.1811,-50.2056,58.98,78,38,7.16,BR,2022-05-23 01:14:49
192,Nova Odesa,47.3078,31.7851,50.05,80,62,9.98,UA,2022-05-23 01:18:16
193,Kurud,20.8322,81.7214,82.38,26,90,3.02,IN,2022-05-23 01:18:16
194,Port Elizabeth,-33.918,25.5701,52.09,93,0,3.44,ZA,2022-05-23 01:18:17
195,Sandpoint,48.2766,-116.5533,66.85,42,100,1.01,US,2022-05-23 01:18:17
196,Lompoc,34.6391,-120.4579,70.02,73,0,23.0,US,2022-05-23 01:17:19
197,Monrovia,6.3005,-10.7969,75.54,93,100,5.46,LR,2022-05-23 01:14:23
198,Santhia,45.3663,8.1726,72.75,80,100,1.1,IT,2022-05-23 01:18:18
199,Porto Walter,-8.2686,-72.7439,75.87,80,90,1.63,BR,2022-05-23 01:18:18
200,Sabha,27.0377,14.4283,74.35,11,2,10.96,LY,2022-05-23 01:18:19
201,Wairoa,-39.0333,177.3667,59.56,73,1,5.99,NZ,2022-05-23 01:18:20
202,Fort Stewart,31.8722,-81.61,71.69,93,100,5.75,US,2022-05-23 01:18:20
203,Turukhansk,65.8167,87.9833,57.96,61,64,8.75,RU,2022-05-23 01:18:21
204,Susner,23.95,76.0833,81.43,68,0,18.79,IN,2022-05-23 01:18:21
